"","names","ourls","wons","ids","lons","lats","sDate"
"68","High Range (Wanganderry)","/products/IDN60801/IDN60801.99742.shtml","99742","IDN60801","150.267","-34.3335","2014"
"69","Jervis Bay Airfield","/products/IDN60801/IDN60801.94751.shtml","94751","IDN60801","0","0","0"
"70","Kiama","/products/IDN60801/IDN60801.95749.shtml","95749","IDN60801","150.8609","-34.6532","2001"
"71","Moss Vale","/products/IDN60801/IDN60801.94746.shtml","94746","IDN60801","150.4217","-34.5253","2001"
"72","Nowra","/products/IDN60801/IDN60801.94750.shtml","94750","IDN60801","150.5353","-34.9469","2000"
"73","Point Perpendicular","/products/IDN60801/IDN60801.95940.shtml","95940","IDN60801","150.8049","-35.0936","2001"
"74","Port Kembla Harbour","/products/IDN60801/IDN60801.95745.shtml","95745","IDN60801","150.9118","-34.4734","1990"
"75","Bega","/products/IDN60801/IDN60801.95931.shtml","95931","IDN60801","149.8191","-36.6722","1992"
"76","Gabo Island","/products/IDN60801/IDN60801.94933.shtml","94933","IDN60801","149.9158","-37.5679","1859"
"77","Green Cape","/products/IDN60801/IDN60801.94934.shtml","94934","IDN60801","150.0504","-37.2622","1991"
"78","Merimbula","/products/IDN60801/IDN60801.95929.shtml","95929","IDN60801","149.8989","-36.9077","1998"
"79","Montague Island","/products/IDN60801/IDN60801.94939.shtml","94939","IDN60801","150.2275","-36.2519","1949"
"80","Moruya Airport","/products/IDN60801/IDN60801.95937.shtml","95937","IDN60801","150.1437","-35.9004","1999"
"81","Moruya Heads","/products/IDN60801/IDN60801.94937.shtml","94937","IDN60801","150.1532","-35.9093","1875"
"82","Narooma","/products/IDN60801/IDN60801.95935.shtml","95935","IDN60801","150.1358","-36.2144","1910"
"83","Ulladulla","/products/IDN60801/IDN60801.94938.shtml","94938","IDN60801","150.4828","-35.3635","1989"
"84","Bathurst","/products/IDN60801/IDN60801.94730.shtml","94730","IDN60801","149.5559","-33.4289","1908"
"85","Bathurst Airport","/products/IDN60801/IDN60801.94729.shtml","94729","IDN60801","149.654","-33.4119","1988"
"86","Gulgong","/products/IDN60801/IDN60801.94732.shtml","94732","IDN60801","149.5329","-32.3634","1881"
"87","Lithgow","/products/IDN60801/IDN60801.94741.shtml","94741","IDN60801","150.1303","-33.4769","1878"
"88","Marrangaroo (Defence)","/products/IDN60801/IDN60801.95686.shtml","95686","IDN60801","0","0","0"
"89","Mount Boyce","/products/IDN60801/IDN60801.94743.shtml","94743","IDN60801","150.2741","-33.6185","1989"
"90","Mudgee","/products/IDN60801/IDN60801.94727.shtml","94727","IDN60801","149.6149","-32.5628","1988"
"91","Nullo Mountain","/products/IDN60801/IDN60801.94754.shtml","94754","IDN60801","150.229","-32.7244","1988"
"92","Oberon","/products/IDN60801/IDN60801.95735.shtml","95735","IDN60801","149.8348","-33.6682","1888"
"93","Orange AgIn","/products/IDN60801/IDN60801.95725.shtml","95725","IDN60801","149.0828","-33.3211","1966"
"94","Orange Airport","/products/IDN60801/IDN60801.95726.shtml","95726","IDN60801","149.1263","-33.3768","1996"
"95","Springwood","/products/IDN60801/IDN60801.95744.shtml","95744","IDN60801","150.5848","-33.7065","1883"
"96","Braidwood","/products/IDN60801/IDN60801.94927.shtml","94927","IDN60801","149.7835","-35.4253","1985"
"97","Burrinjuck Dam","/products/IDN60801/IDN60801.94909.shtml","94909","IDN60801","148.5984","-34.9997","1908"
"98","Canberra","/products/IDN60801/IDN60801.94926.shtml","94926","IDN60801","149.2004","-35.3088","2008"
"99","Goulburn","/products/IDN60801/IDN60801.94716.shtml","94716","IDN60801","149.7034","-34.7495","1971"
"100","Goulburn Airport","/products/IDN60801/IDN60801.95716.shtml","95716","IDN60801","149.7311","-34.8085","1988"
"101","Mount Ginini","/products/IDN60801/IDN60801.95925.shtml","95925","IDN60801","148.7721","-35.5293","2004"
"102","Nerriga","/products/IDN60801/IDN60801.94943.shtml","94943","IDN60801","150.0826","-35.1103","2013"
"103","Taralga","/products/IDN60801/IDN60801.94735.shtml","94735","IDN60801","149.8197","-34.4048","1882"
"104","Tuggeranong","/products/IDN60801/IDN60801.94925.shtml","94925","IDN60801","149.0937","-35.4184","1996"
"105","Bombala","/products/IDN60801/IDN60801.94928.shtml","94928","IDN60801","149.2379","-36.9113","1885"
"106","Bombala AWS","/products/IDN60801/IDN60801.94929.shtml","94929","IDN60801","149.2336","-37.0016","1988"
"107","Cabramurra","/products/IDN60801/IDN60801.95916.shtml","95916","IDN60801","148.3779","-35.9371","1996"
"108","Cooma","/products/IDN60801/IDN60801.94923.shtml","94923","IDN60801","149.1243","-36.2318","1973"
"109","Cooma Airport","/products/IDN60801/IDN60801.94921.shtml","94921","IDN60801","148.9725","-36.2939","1967"
"110","Perisher Valley","/products/IDN60801/IDN60801.94915.shtml","94915","IDN60801","148.4055","-36.4069","2010"
"111","Thredbo Top Station","/products/IDN60801/IDN60801.95909.shtml","95909","IDN60801","148.2859","-36.4917","1966"
"112","Thredbo Village","/products/IDN60801/IDN60801.95908.shtml","95908","IDN60801","148.3038","-36.5031","1969"
"113","Barraba","/products/IDN60801/IDN60801.94761.shtml","94761","IDN60801","150.6096","-30.3781","1881"
"114","Gunnedah Airport","/products/IDN60801/IDN60801.95740.shtml","95740","IDN60801","150.2494","-30.9537","2001"
