"SiteID","SensorID","UpperDepth","LowerDepth","DataType","StartDate","EndDate","TotalDays","IsActive","NumGaps","TotalGapDays","Gapiness","MinimumValue","MaximumValue","MeanValue","StandardDeviation","MetaDataHarvestDate"
"Cosmoz_8","Cosmoz8_SoilMoisture","0","300","Soil-Moisture","2010-12-15T00:00:00","2019-05-20T23:59:59",3078,FALSE,2,71,2.3059434881455,4.0685,59.8024,17.1372527574751,9.57166614581251,2019-06-28
"Cosmoz_9","Cosmoz9_Rainfall","0","0","Rainfall","2011-04-03T00:00:00","2019-06-12T23:59:59",2992,TRUE,13,274,9.15469428666889,0,83,3.39392386530015,8.56657429877686,2019-06-28
"Cosmoz_9","Cosmoz9_SoilMoisture","0","300","Soil-Moisture","2011-04-03T00:00:00","2019-06-12T23:59:59",2992,TRUE,13,274,9.15469428666889,9.5104,106.6626,41.2666764275256,12.0977884930139,2019-06-28
"DAFWA_AN001","DAFWA_AN001_Rainfall","0","0","Rainfall","2012-06-19T00:00:00","2019-06-26T23:59:59",2563,TRUE,2,8,0.31201248049922,0,59.2,1.22181391712275,4.43299494539872,2019-06-28
"DAFWA_BA","DAFWA_BA_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,3,22,0.635103926096998,0,71.8,1.38011611030479,4.83666815809519,2019-06-28
"DAFWA_BB001","DAFWA_BB001_Rainfall","0","0","Rainfall","2012-06-22T00:00:00","2019-06-26T23:59:59",2560,TRUE,3,13,0.50761421319797,0,94.2,1.02822422579381,4.16444181490186,2019-06-28
"DAFWA_BC001","DAFWA_BC001_Rainfall","0","0","Rainfall","2016-06-16T00:00:00","2019-06-26T23:59:59",1105,TRUE,0,0,0,0,39.4,0.687703435804702,2.84495469378822,2019-06-28
"DAFWA_BD","DAFWA_BD_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,3,20,0.577367205542725,0,93.2,1.37951842181607,5.07621180522648,2019-06-28
"DAFWA_BE001","DAFWA_BE001_Rainfall","0","0","Rainfall","2012-06-27T00:00:00","2019-06-26T23:59:59",2555,TRUE,6,66,2.58215962441315,0,69.4,0.844871794871795,3.54716598379932,2019-06-28
"DAFWA_BG001","DAFWA_BG001_Rainfall","0","0","Rainfall","2014-10-31T00:00:00","2019-06-26T23:59:59",1699,TRUE,0,0,0,0,119.4,2.06929411764706,6.77773408397606,2019-06-28
"DAFWA_BI","DAFWA_BI_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,4,11,0.317551963048499,0,66,0.805206826728377,3.72135612373088,2019-06-28
"DAFWA_BJ","DAFWA_BJ_Rainfall","0","0","Rainfall","2014-07-29T00:00:00","2019-06-26T23:59:59",1793,TRUE,9,71,3.95763656633222,0,52.4,1.7972286374134,5.14258771195915,2019-06-28
"DAFWA_BK001","DAFWA_BK001_Rainfall","0","0","Rainfall","2016-06-22T00:00:00","2019-06-26T23:59:59",1099,TRUE,0,0,0,0,63.2,0.776,3.49839510845328,2019-06-28
"DAFWA_BN001","DAFWA_BN001_Rainfall","0","0","Rainfall","2012-07-02T00:00:00","2019-06-26T23:59:59",2550,TRUE,4,50,1.96001568012544,0,98.4,1.1497005988024,4.54967884427483,2019-06-28
"DAFWA_BO001","DAFWA_BO001_Rainfall","0","0","Rainfall","2015-11-30T00:00:00","2019-06-26T23:59:59",1304,TRUE,1,3,0.229885057471264,0,73.4,1.45203376822717,4.10041698363947,2019-06-28
"DAFWA_BP001","DAFWA_BP001_Rainfall","0","0","Rainfall","2014-10-24T00:00:00","2019-06-26T23:59:59",1706,TRUE,0,0,0,0,76.2,1.84721734036321,5.21601793257075,2019-06-28
"DAFWA_BR","DAFWA_BR_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,6,42,1.21247113163972,0,107.4,0.773949824970828,3.671138537494,2019-06-28
"DAFWA_BT001","DAFWA_BT001_Rainfall","0","0","Rainfall","2016-06-22T00:00:00","2019-06-26T23:59:59",1099,TRUE,0,0,0,0,71.8,0.860363636363636,3.87726063144277,2019-06-28
"DAFWA_BU","DAFWA_BU_Rainfall","0","0","Rainfall","2011-10-12T00:00:00","2019-06-26T23:59:59",2814,TRUE,3,11,0.390763765541741,0,61.8,1.1435696473103,4.10125675817596,2019-06-28
"DAFWA_BURN","DAFWA_BURN_Rainfall","0","0","Rainfall","2016-12-21T00:00:00","2019-06-25T23:59:59",916,TRUE,17,92,10.0327153762268,0,37.6,0.853087885985748,3.5677137520773,2019-06-28
"DAFWA_BW001","DAFWA_BW001_Rainfall","0","0","Rainfall","2012-12-03T00:00:00","2019-06-26T23:59:59",2396,TRUE,1,6,0.250312891113892,0,162.8,1.72725752508361,6.36849151312996,2019-06-28
"DAFWA_BX001","DAFWA_BX001_Rainfall","0","0","Rainfall","2012-11-29T00:00:00","2019-06-26T23:59:59",2400,TRUE,1,8,0.333194502290712,0,65,1.82238930659983,5.68484175658347,2019-06-28
"DAFWA_BY001","DAFWA_BY001_Rainfall","0","0","Rainfall","2016-06-22T00:00:00","2019-06-26T23:59:59",1099,TRUE,0,0,0,0,46.8,1.34927272727273,3.68668378399699,2019-06-28
"DAFWA_CA","DAFWA_CA_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,4,98,2.82909930715935,0,253.2,0.584035608308605,5.29976844747315,2019-06-28
"DAFWA_CA001","DAFWA_CA001_Rainfall","0","0","Rainfall","2012-07-18T00:00:00","2019-06-26T23:59:59",2534,TRUE,2,8,0.315581854043393,0,76,1.26437327006722,4.44978309951915,2019-06-28
"DAFWA_CD001","DAFWA_CD001_Rainfall","0","0","Rainfall","2012-12-04T00:00:00","2019-06-26T23:59:59",2395,TRUE,2,8,0.333889816360601,0,147.2,1.58066945606695,5.48852552931323,2019-06-28
"DAFWA_CE001","DAFWA_CE001_Rainfall","0","0","Rainfall","2012-11-29T00:00:00","2019-06-26T23:59:59",2400,TRUE,4,40,1.66597251145356,0,62.4,0.714249471458774,3.39740929669615,2019-06-28
"DAFWA_CH","DAFWA_CH_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,4,22,0.635103926096998,0,61.4,1.09860708067324,4.29239491221796,2019-06-28
"DAFWA_CL001","DAFWA_CL001_Rainfall","0","0","Rainfall","2012-12-20T00:00:00","2019-06-26T23:59:59",2379,TRUE,0,0,0,0,69,2.19327731092437,6.64994200283093,2019-06-28
"DAFWA_CN001","DAFWA_CN001_Rainfall","0","0","Rainfall","2012-07-17T00:00:00","2019-06-26T23:59:59",2535,TRUE,2,7,0.27602523659306,0,121.8,1.67151323587515,5.09350264662623,2019-06-28
"DAFWA_CO001","DAFWA_CO001_Rainfall","0","0","Rainfall","2012-04-17T00:00:00","2019-06-26T23:59:59",2626,TRUE,3,13,0.49486105824134,0,82.8,1.0722200993504,4.18716503983349,2019-06-28
"DAFWA_CO002","DAFWA_CO002_Rainfall","0","0","Rainfall","2016-03-16T00:00:00","2019-06-26T23:59:59",1197,TRUE,1,32,2.67111853088481,0,32.4,0.810282776349614,2.99301024009733,2019-06-28
"DAFWA_CP001","DAFWA_CP001_Rainfall","0","0","Rainfall","2012-11-29T00:00:00","2019-06-26T23:59:59",2400,TRUE,1,6,0.249895876718034,0,58.4,1.5042570951586,4.28594228671161,2019-06-28
"DAFWA_CS002","DAFWA_CS002_Rainfall","0","0","Rainfall","2015-11-27T00:00:00","2019-06-26T23:59:59",1307,TRUE,1,2,0.152905198776758,0,62.4,1.01560826319816,3.56292823023938,2019-06-28
"DAFWA_CS003","DAFWA_CS003_Rainfall","0","0","Rainfall","2015-11-18T00:00:00","2019-06-26T23:59:59",1316,TRUE,4,45,3.41685649202733,0,114.2,1.22492163009404,5.54567823198181,2019-06-28
"DAFWA_CW001","DAFWA_CW001_Rainfall","0","0","Rainfall","2012-12-18T00:00:00","2019-06-26T23:59:59",2381,TRUE,3,35,1.46935348446683,0,94.6,1.08365957446809,4.88276839660046,2019-06-28
"DAFWA_DA","DAFWA_DA_Rainfall","0","0","Rainfall","2010-03-15T00:00:00","2019-06-26T23:59:59",3390,TRUE,15,532,15.6885874373341,0,84.8,2.00441892832289,5.79152596623859,2019-06-28
"DAFWA_DA002","DAFWA_DA002_Rainfall","0","0","Rainfall","2014-10-21T00:00:00","2019-06-26T23:59:59",1709,TRUE,1,3,0.175438596491228,0,55.8,2.18067915690867,5.9949970555996,2019-06-28
"DAFWA_DALE","DAFWA_DALE_Rainfall","0","0","Rainfall","2016-12-21T00:00:00","2019-06-26T23:59:59",917,TRUE,7,86,9.3681917211329,0,40,0.903337306317044,3.91250224451007,2019-06-28
"DAFWA_DB","DAFWA_DB_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,3,20,0.577367205542725,0,108.2,2.22454308093995,6.66637954715963,2019-06-28
"DAFWA_DK001","DAFWA_DK001_Rainfall","0","0","Rainfall","2012-07-03T00:00:00","2019-06-26T23:59:59",2549,TRUE,2,8,0.313725490196078,0,86.6,1.30235849056604,4.3946552570789,2019-06-28
"DAFWA_DM001","DAFWA_DM001_Rainfall","0","0","Rainfall","2012-12-05T00:00:00","2019-06-26T23:59:59",2394,TRUE,2,8,0.334029227557411,0,74.2,2.52553369610716,5.76901569266384,2019-06-28
"DAFWA_DP001","DAFWA_DP001_Rainfall","0","0","Rainfall","2012-12-04T00:00:00","2019-06-26T23:59:59",2395,TRUE,2,8,0.333889816360601,0,68.4,1.55221757322176,4.79898234847123,2019-06-28
"DAFWA_DR001","DAFWA_DR001_Rainfall","0","0","Rainfall","2012-11-29T00:00:00","2019-06-26T23:59:59",2400,TRUE,3,11,0.458142440649729,0,79.4,0.958044295862934,3.7259837227302,2019-06-28
"DAFWA_DU001","DAFWA_DU001_Rainfall","0","0","Rainfall","2012-07-04T00:00:00","2019-06-26T23:59:59",2548,TRUE,2,14,0.549234994115339,0,84,0.968860859282617,3.73743003732052,2019-06-28
"DAFWA_DU002","DAFWA_DU002_Rainfall","0","0","Rainfall","2016-06-28T00:00:00","2019-06-26T23:59:59",1093,TRUE,2,67,6.12431444241316,0,74.8,0.817492711370262,3.69297433867923,2019-06-28
"DAFWA_EB","DAFWA_EB_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,4,44,1.270207852194,0,64.2,0.966471962616822,3.63609614077959,2019-06-28
"DAFWA_EJ001","DAFWA_EJ001_Rainfall","0","0","Rainfall","2012-06-14T00:00:00","2019-06-26T23:59:59",2568,TRUE,5,54,2.10198520825224,0,119.6,0.971190476190476,4.4997511478354,2019-06-28
"DAFWA_EN001","DAFWA_EN001_Rainfall","0","0","Rainfall","2012-06-14T00:00:00","2019-06-26T23:59:59",2568,TRUE,3,30,1.16776956014013,0,71.8,1.21730920535012,4.60070141611621,2019-06-28
"DAFWA_ER","DAFWA_ER_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,6,127,3.6662817551963,0,63.2,1.01079868381693,3.90157252310608,2019-06-28
"DAFWA_ES","DAFWA_ES_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,0,0,0,0,60.8,1.51671478060046,4.53293088164444,2019-06-28
"DAFWA_ES001","DAFWA_ES001_Rainfall","0","0","Rainfall","2012-06-20T00:00:00","2019-06-26T23:59:59",2562,TRUE,3,10,0.390167772142021,0,58.9,0.940492957746479,3.89428599319815,2019-06-28
"DAFWA_EW","DAFWA_EW_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,2,9,0.259815242494226,0,60.8,0.941220711599653,3.48117191250763,2019-06-28
"DAFWA_FL","DAFWA_FL_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,2,4,0.115473441108545,0,119.4,1.95493934142114,6.09849073880751,2019-06-28
"DAFWA_FR","DAFWA_FR_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,2,8,0.23094688221709,0,77,1.61561596298438,4.37783477276799,2019-06-28
"DAFWA_GA001","DAFWA_GA001_Rainfall","0","0","Rainfall","2012-07-19T00:00:00","2019-06-26T23:59:59",2533,TRUE,1,6,0.236779794790845,0,58.6,1.29450375642546,3.87351510964826,2019-06-28
"DAFWA_GE001","DAFWA_GE001_Rainfall","0","0","Rainfall","2014-05-29T00:00:00","2019-06-26T23:59:59",1854,TRUE,1,419,22.5876010781671,0,135.2,3.52470424495477,10.075737322402,2019-06-28
"DAFWA_GI001","DAFWA_GI001_Rainfall","0","0","Rainfall","2012-12-11T00:00:00","2019-06-26T23:59:59",2388,TRUE,2,4,0.167434072833822,0,80.2,2.69308755760369,6.3199333378681,2019-06-28
"DAFWA_GN002","DAFWA_GN002_Rainfall","0","0","Rainfall","2016-06-28T00:00:00","2019-06-26T23:59:59",1093,TRUE,1,18,1.64533820840951,0,79.6,0.926833797585887,3.59396366386009,2019-06-28
"DAFWA_GP001","DAFWA_GP001_Rainfall","0","0","Rainfall","2016-03-15T00:00:00","2019-06-26T23:59:59",1198,TRUE,1,33,2.75229357798165,0,67.4,1.07077977720651,4.1977975102285,2019-06-28
"DAFWA_GU001","DAFWA_GU001_Rainfall","0","0","Rainfall","2012-11-29T00:00:00","2019-06-26T23:59:59",2400,TRUE,3,15,0.624739691795085,0,89.2,0.914190037672666,4.10293685709612,2019-06-28
"DAFWA_GW","DAFWA_GW_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,3,16,0.46189376443418,0,93.8,1.72268907563025,5.42859026847746,2019-06-28
"DAFWA_HO","DAFWA_HO_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,1,5,0.144341801385681,0,77.4,1.24164739884393,3.95347357926624,2019-06-28
"DAFWA_HR","DAFWA_HR_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,5,26,0.750577367205543,0,69,0.95811792041824,3.73032863368872,2019-06-28
"DAFWA_HV","DAFWA_HV_Rainfall","0","0","Rainfall","2010-03-15T00:00:00","2019-06-26T23:59:59",3390,TRUE,9,346,10.2034797994692,0,218.4,2.12108709888671,6.98556609274012,2019-06-28
"DAFWA_HY001","DAFWA_HY001_Rainfall","0","0","Rainfall","2012-06-04T00:00:00","2019-06-26T23:59:59",2578,TRUE,5,20,0.775494377665762,0,48,0.980655226209048,3.51155055769429,2019-06-28
"DAFWA_JA001","DAFWA_JA001_Rainfall","0","0","Rainfall","2012-12-06T00:00:00","2019-06-26T23:59:59",2393,TRUE,1,6,0.25062656641604,0,146,3.45039765592298,9.87140626723087,2019-06-28
"DAFWA_JA002","DAFWA_JA002_Rainfall","0","0","Rainfall","2014-10-14T00:00:00","2019-06-26T23:59:59",1716,TRUE,2,5,0.29120559114735,0,117.4,2.64457409568261,7.68635133285476,2019-06-28
"DAFWA_JB001","DAFWA_JB001_Rainfall","0","0","Rainfall","2012-06-14T00:00:00","2019-06-26T23:59:59",2568,TRUE,1,6,0.233553912028026,0,74,1.56209048361934,5.3580266105341,2019-06-28
"DAFWA_JE","DAFWA_JE_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,0,0,0,0,41.2,0.99919168591224,3.29471078923935,2019-06-28
"DAFWA_KA","DAFWA_KA_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,4,17,0.490762124711316,0,93.2,1.16238771370617,4.0883616336982,2019-06-28
"DAFWA_KA002","DAFWA_KA002_Rainfall","0","0","Rainfall","2016-06-28T00:00:00","2019-06-26T23:59:59",1093,TRUE,1,10,0.914076782449726,0,62,1.06377880184332,3.47015564095163,2019-06-28
"DAFWA_KA003","DAFWA_KA003_Rainfall","0","0","Rainfall","2016-04-07T00:00:00","2019-06-26T23:59:59",1175,TRUE,2,13,1.10544217687075,0,88.4,1.12515021459227,4.09804591547659,2019-06-28
"DAFWA_KA004","DAFWA_KA004_Rainfall","0","0","Rainfall","2016-04-07T00:00:00","2019-06-26T23:59:59",1175,TRUE,0,0,0,0,89.2,1.18792517006803,4.19398034040127,2019-06-28
"DAFWA_KARI","DAFWA_KARI_Rainfall","0","0","Rainfall","2013-10-24T00:00:00","2019-06-26T23:59:59",2071,TRUE,13,867,41.8436293436293,0,33,0.305500821018062,2.04392462971283,2019-06-28
"DAFWA_KD001","DAFWA_KD001_Rainfall","0","0","Rainfall","2012-06-04T00:00:00","2019-06-26T23:59:59",2578,TRUE,2,8,0.310197751066305,0,100.6,1.00660707345511,4.25009046101473,2019-06-28
"DAFWA_KE001","DAFWA_KE001_Rainfall","0","0","Rainfall","2012-06-05T00:00:00","2019-06-26T23:59:59",2577,TRUE,4,13,0.504266873545384,0,86,1.08509147528221,4.11756357935426,2019-06-28
"DAFWA_KE002","DAFWA_KE002_Rainfall","0","0","Rainfall","2016-06-22T00:00:00","2019-06-26T23:59:59",1099,TRUE,0,0,0,0,42,0.806,3.25379045426886,2019-06-28
"DAFWA_KI001","DAFWA_KI001_Rainfall","0","0","Rainfall","2014-11-12T00:00:00","2019-06-26T23:59:59",1687,TRUE,2,25,1.48104265402844,0,62.2,0.890570570570571,3.58546930247145,2019-06-28
"DAFWA_KL","DAFWA_KL_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,5,19,0.548498845265589,0,73.6,0.826086956521739,3.52245220263322,2019-06-28
"DAFWA_KL002","DAFWA_KL002_Rainfall","0","0","Rainfall","2016-06-22T00:00:00","2019-06-26T23:59:59",1099,TRUE,3,17,1.54545454545455,0,46.4,0.646040515653775,2.63675858371064,2019-06-28
"DAFWA_KN","DAFWA_KN_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,2,4,0.115473441108545,0,218,2.79286539572501,10.3689102815222,2019-06-28
"DAFWA_KO001","DAFWA_KO001_Rainfall","0","0","Rainfall","2012-05-29T00:00:00","2019-06-26T23:59:59",2584,TRUE,5,44,1.70212765957447,0,104.6,0.85962293794187,3.79242286847967,2019-06-28
"DAFWA_KP001","DAFWA_KP001_Rainfall","0","0","Rainfall","2012-12-20T00:00:00","2019-06-26T23:59:59",2379,TRUE,0,0,0,0,88,2.55042016806723,7.12903911101766,2019-06-28
"DAFWA_KR001","DAFWA_KR001_Rainfall","0","0","Rainfall","2012-12-13T00:00:00","2019-06-26T23:59:59",2386,TRUE,0,0,0,0,103.2,2.87800586510264,6.97712449830473,2019-06-28
"DAFWA_KW001","DAFWA_KW001_Rainfall","0","0","Rainfall","2014-11-12T00:00:00","2019-06-26T23:59:59",1687,TRUE,1,6,0.355450236966825,0,66.6,0.968746286393345,3.62889022506268,2019-06-28
"DAFWA_LA001","DAFWA_LA001_Rainfall","0","0","Rainfall","2012-06-22T00:00:00","2019-06-26T23:59:59",2560,TRUE,6,55,2.1475985942991,0,117,0.834633757961783,4.02528383365452,2019-06-28
"DAFWA_LAWS","DAFWA_LAWS_Rainfall","0","0","Rainfall","2016-12-21T00:00:00","2019-06-26T23:59:59",917,TRUE,2,18,1.96078431372549,0,159.6,1.5109756097561,7.42002579799502,2019-06-28
"DAFWA_LE","DAFWA_LE_Rainfall","0","0","Rainfall","2010-01-01T00:00:00","2019-06-26T23:59:59",3463,TRUE,4,10,0.288683602771363,0,98.2,1.65442452284558,5.35205570157889,2019-06-28
"DAFWA_LG","DAFWA_LG_Rainfall","0","0","Rainfall","2015-05-19T00:00:00","2019-06-26T23:59:59",1499,TRUE,5,28,1.86666666666667,0,69.2,2.31333784698714,6.55849783083205,2019-06-28
