SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
SFS_71,1,409,SFS57 - Branxholme_Soil-Moisture_700,2013-09-11T05:27:12.000Z,2017-04-06T04:45:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_20,1,411,SFS43 - Gatum_Soil-Moisture_700,2013-09-11T03:21:47.000Z,2017-04-10T06:30:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_37,1,413,SFS62 - AWS Hagley_Soil-Moisture_700,2014-03-26T16:00:00.000Z,2016-05-13T02:59:39.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_36,1,414,SFS61 - AWS Campbell Town_Soil-Moisture_700,2013-06-13T17:45:00.000Z,2017-11-07T02:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_35,1,416,SFS54 - Hagley IrriCAC_Soil-Moisture_700,2016-06-09T08:07:49.000Z,2018-01-28T05:11:56.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_53,1,418,SFS103 - Mt Gow_Soil-Moisture_700,2017-04-24T03:00:00.000Z,2018-08-17T03:45:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_16,1,421,SFS106 - Mount Wallace_Soil-Moisture_700,2017-05-22T04:30:00.000Z,2018-08-23T01:30:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_54,1,424,SFS108 - Mannibadar_Soil-Moisture_700,2017-06-01T10:00:00.000Z,2018-10-08T06:00:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_72,1,425,SFS110 - Lindenow Flats_Soil-Moisture_700,2017-08-31T14:15:00.000Z,2018-07-28T01:15:31.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_51,1,426,SFS55 - Campbell Town_Soil-Moisture_700,2017-11-16T03:45:00.000Z,2017-11-30T21:45:00.000Z,Soil-Moisture,700,700,TRUE,mm
SFS_66,1,428,SFS2 - Yatchaw_Soil-Moisture_800,2012-09-04T01:54:46.000Z,2018-12-11T04:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_26,1,432,SFS3 - Winchelsea1_Soil-Moisture_800,2013-05-04T15:00:00.000Z,2018-11-13T07:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_27,1,433,SFS6 - Lake Bolac2_Soil-Moisture_800,2012-08-29T05:15:00.000Z,2015-04-01T02:08:57.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_77,1,434,SFS7 - Benham_Soil-Moisture_800,2013-05-23T06:45:12.000Z,2013-05-23T06:45:12.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_17,1,436,SFS11 - Ballan1_Soil-Moisture_800,2013-11-14T14:00:00.000Z,2018-08-23T02:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_15,1,439,SFS13 - Lethbridge_Soil-Moisture_800,2013-04-19T14:15:00.000Z,2018-08-17T03:30:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_32,1,443,SFS33 - Dutson Downs_Soil-Moisture_800,2013-04-30T14:15:00.000Z,2017-07-30T06:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_55,1,445,SFS16 - Skipton_Soil-Moisture_800,2013-12-03T12:00:00.000Z,2018-10-07T20:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_28,1,448,SFS20 - Inverleigh1_Soil-Moisture_800,2013-04-23T14:15:00.000Z,2017-04-04T04:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_31,1,450,SFS30 - Lidenow_Soil-Moisture_800,2013-04-30T14:15:00.000Z,2017-05-04T22:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_7,1,451,SFS29 - Meerlieu_Soil-Moisture_800,2014-03-26T16:00:00.000Z,2015-07-10T07:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_30,1,452,SFS28 - Derrinallum3_Soil-Moisture_800,2013-04-24T14:15:00.000Z,2017-04-19T07:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_65,1,457,SFS34 - Rosedale_Soil-Moisture_800,2014-03-26T16:00:00.000Z,2018-08-02T02:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_29,1,459,SFS26 - Winchelsea2_Soil-Moisture_800,2013-05-09T14:15:00.000Z,2017-04-03T22:15:00.000Z,Soil-Moisture,800,800,TRUE,mm
