SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units,IsActive
BoMLatest_94786_IDN60801,1,press,94786_Atmospheric-Pressure,1995-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94786_IDN60801,1,rain_trace,94786_Rainfall,1995-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94786_IDN60801,1,rel_hum,94786_Humidity,1995-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94786_IDN60801,1,wind_spd_kmh,94786_Wind-Speed,1995-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94790_IDN60801,1,air_temp,94790_Temperature,1939-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94790_IDN60801,1,press,94790_Atmospheric-Pressure,1939-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94790_IDN60801,1,rain_trace,94790_Rainfall,1939-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94790_IDN60801,1,rel_hum,94790_Humidity,1939-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94790_IDN60801,1,wind_spd_kmh,94790_Wind-Speed,1939-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95784_IDN60801,1,air_temp,95784_Temperature,1997-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95784_IDN60801,1,press,95784_Atmospheric-Pressure,1997-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95784_IDN60801,1,rain_trace,95784_Rainfall,1997-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95784_IDN60801,1,rel_hum,95784_Humidity,1997-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95784_IDN60801,1,wind_spd_kmh,95784_Wind-Speed,1997-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95771_IDN60801,1,air_temp,95771_Temperature,1968-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95771_IDN60801,1,press,95771_Atmospheric-Pressure,1968-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95771_IDN60801,1,rain_trace,95771_Rainfall,1968-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95771_IDN60801,1,rel_hum,95771_Humidity,1968-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95771_IDN60801,1,wind_spd_kmh,95771_Wind-Speed,1968-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94782_IDN60801,1,air_temp,94782_Temperature,2013-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94782_IDN60801,1,press,94782_Atmospheric-Pressure,2013-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94782_IDN60801,1,rain_trace,94782_Rainfall,2013-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94782_IDN60801,1,rel_hum,94782_Humidity,2013-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94782_IDN60801,1,wind_spd_kmh,94782_Wind-Speed,2013-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95767_IDN60801,1,air_temp,95767_Temperature,2008-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95767_IDN60801,1,press,95767_Atmospheric-Pressure,2008-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95767_IDN60801,1,rain_trace,95767_Rainfall,2008-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95767_IDN60801,1,rel_hum,95767_Humidity,2008-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95767_IDN60801,1,wind_spd_kmh,95767_Wind-Speed,2008-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95772_IDN60801,1,air_temp,95772_Temperature,1969-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95772_IDN60801,1,press,95772_Atmospheric-Pressure,1969-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95772_IDN60801,1,rain_trace,95772_Rainfall,1969-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95772_IDN60801,1,rel_hum,95772_Humidity,1969-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95772_IDN60801,1,wind_spd_kmh,95772_Wind-Speed,1969-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95774_IDN60801,1,air_temp,95774_Temperature,1994-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95774_IDN60801,1,press,95774_Atmospheric-Pressure,1994-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95774_IDN60801,1,rain_trace,95774_Rainfall,1994-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95774_IDN60801,1,rel_hum,95774_Humidity,1994-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95774_IDN60801,1,wind_spd_kmh,95774_Wind-Speed,1994-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95754_IDN60801,1,air_temp,95754_Temperature,1969-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95754_IDN60801,1,press,95754_Atmospheric-Pressure,1969-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95754_IDN60801,1,rain_trace,95754_Rainfall,1969-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95754_IDN60801,1,rel_hum,95754_Humidity,1969-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95754_IDN60801,1,wind_spd_kmh,95754_Wind-Speed,1969-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94756_IDN60801,1,air_temp,94756_Temperature,1870-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94756_IDN60801,1,press,94756_Atmospheric-Pressure,1870-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94756_IDN60801,1,rain_trace,94756_Rainfall,1870-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94756_IDN60801,1,rel_hum,94756_Humidity,1870-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94756_IDN60801,1,wind_spd_kmh,94756_Wind-Speed,1870-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95747_IDN60801,1,air_temp,95747_Temperature,2003-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95747_IDN60801,1,press,95747_Atmospheric-Pressure,2003-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95747_IDN60801,1,rain_trace,95747_Rainfall,2003-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95747_IDN60801,1,rel_hum,95747_Humidity,2003-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95747_IDN60801,1,wind_spd_kmh,95747_Wind-Speed,2003-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95779_IDN60801,1,air_temp,95779_Temperature,1881-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95779_IDN60801,1,press,95779_Atmospheric-Pressure,1881-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95779_IDN60801,1,rain_trace,95779_Rainfall,1881-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95779_IDN60801,1,rel_hum,95779_Humidity,1881-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_95779_IDN60801,1,wind_spd_kmh,95779_Wind-Speed,1881-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94774_IDN60801,1,air_temp,94774_Temperature,1862-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94774_IDN60801,1,press,94774_Atmospheric-Pressure,1862-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94774_IDN60801,1,rain_trace,94774_Rainfall,1862-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94774_IDN60801,1,rel_hum,94774_Humidity,1862-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94774_IDN60801,1,wind_spd_kmh,94774_Wind-Speed,1862-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_94781_IDN60801,1,air_temp,94781_Temperature,1998-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_94781_IDN60801,1,press,94781_Atmospheric-Pressure,1998-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_94781_IDN60801,1,rain_trace,94781_Rainfall,1998-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_94781_IDN60801,1,rel_hum,94781_Humidity,1998-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
BoMLatest_94781_IDN60801,1,wind_spd_kmh,94781_Wind-Speed,1998-01-01T00:00:00,2019-07-23T00:00:00,Wind-Speed,0,0,TRUE,km/hr,TRUE
BoMLatest_95770_IDN60801,1,air_temp,95770_Temperature,1989-01-01T00:00:00,2019-07-23T00:00:00,Temperature,0,0,TRUE,Degrees-Celcius,TRUE
BoMLatest_95770_IDN60801,1,press,95770_Atmospheric-Pressure,1989-01-01T00:00:00,2019-07-23T00:00:00,Atmospheric-Pressure,0,0,TRUE,hPa,TRUE
BoMLatest_95770_IDN60801,1,rain_trace,95770_Rainfall,1989-01-01T00:00:00,2019-07-23T00:00:00,Rainfall,0,0,TRUE,mm,TRUE
BoMLatest_95770_IDN60801,1,rel_hum,95770_Humidity,1989-01-01T00:00:00,2019-07-23T00:00:00,Humidity,0,0,TRUE,Percent,TRUE
